	Terms
ABI2	R-HSA-162582,R-HSA-162582,R-HSA-1643685,R-HSA-1643685,R-HSA-168249,R-HSA-168249,R-HSA-168256,R-HSA-168256,R-HSA-194138,R-HSA-194315,R-HSA-194315,R-HSA-195258,R-HSA-195258,R-HSA-2029480,R-HSA-2029480,R-HSA-2029482,R-HSA-2029482,R-HSA-4420097,R-HSA-5663205,R-HSA-5663205,R-HSA-5663213,R-HSA-5663213,R-HSA-9006934,R-HSA-9012999,R-HSA-9013149,R-HSA-9013404,R-HSA-9013423,R-HSA-9658195,R-HSA-9658195,R-HSA-9664407,R-HSA-9664407,R-HSA-9664417,R-HSA-9664417,R-HSA-9664422,R-HSA-9664422,R-HSA-9716542,R-HSA-9716542
ABL1	R-HSA-109582,R-HSA-1266738,R-HSA-1266738,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-168249,R-HSA-168256,R-HSA-194315,R-HSA-195258,R-HSA-2029480,R-HSA-2029482,R-HSA-212436,R-HSA-212436,R-HSA-376176,R-HSA-376176,R-HSA-422475,R-HSA-422475,R-HSA-428890,R-HSA-428890,R-HSA-453279,R-HSA-525793,R-HSA-525793,R-HSA-5663205,R-HSA-5663213,R-HSA-5685938,R-HSA-5693532,R-HSA-5693538,R-HSA-5693565,R-HSA-5693567,R-HSA-5693606,R-HSA-69231,R-HSA-69236,R-HSA-69278,R-HSA-73857,R-HSA-73857,R-HSA-73894,R-HSA-74160,R-HSA-74160,R-HSA-8878166,R-HSA-8878171,R-HSA-8939236,R-HSA-8940973,R-HSA-8941326,R-HSA-9658195,R-HSA-9664407,R-HSA-9664417,R-HSA-9664422,R-HSA-9675108,R-HSA-9675108,R-HSA-9716542,R-HSA-983231
ABL2	R-HSA-1266738,R-HSA-1266738,R-HSA-1280215,R-HSA-162582,R-HSA-168256,R-HSA-194315,R-HSA-376176,R-HSA-376176,R-HSA-422475,R-HSA-422475,R-HSA-428890,R-HSA-428890,R-HSA-9012999,R-HSA-9013149,R-HSA-9013423,R-HSA-9607240,R-HSA-9675108,R-HSA-9675108,R-HSA-9706369,R-HSA-9716542
ABLIM1	R-HSA-1266738,R-HSA-373752,R-HSA-418885,R-HSA-422475,R-HSA-9675108
ABLIM2	R-HSA-1266738,R-HSA-373752,R-HSA-418885,R-HSA-422475,R-HSA-9675108
ABLIM3	R-HSA-1266738,R-HSA-373752,R-HSA-418885,R-HSA-422475,R-HSA-9675108
ABO	R-HSA-1430728,R-HSA-71387,R-HSA-9033658,R-HSA-9033807
ABR	R-HSA-162582,R-HSA-193648,R-HSA-193704,R-HSA-194315,R-HSA-204998,R-HSA-372790,R-HSA-388396,R-HSA-416482,R-HSA-73887,R-HSA-8980692,R-HSA-9012999,R-HSA-9013026,R-HSA-9013106,R-HSA-9013148,R-HSA-9013149,R-HSA-9013404,R-HSA-9013423,R-HSA-9716542
ABRAXAS1	R-HSA-1640170,R-HSA-392499,R-HSA-5688426,R-HSA-5689901,R-HSA-5693532,R-HSA-5693538,R-HSA-5693565,R-HSA-5693567,R-HSA-5693571,R-HSA-5693606,R-HSA-5693607,R-HSA-597592,R-HSA-69473,R-HSA-69481,R-HSA-69620,R-HSA-73894
ABRAXAS2	R-HSA-392499,R-HSA-5688426,R-HSA-5689901,R-HSA-597592
