	Genes
R-HSA-111446	BCL2L11,MAPK8,DYNLL1
R-HSA-111447	AKT3,YWHAQ,AKT1,AKT2,SFN,PPP3CC,PPP3R1,BAD,BAD,BCL2,BID,YWHAB,YWHAE,YWHAG,YWHAH,YWHAZ
R-HSA-111448	E2F1,PMAIP1,TFDP1,TFDP2,TP53
R-HSA-111452	BAK1,BID
R-HSA-111453	BCL2L11,BBC3,PMAIP1,BAD,BCL2,BCL2L1,BID,STAT3,BMF
R-HSA-111457	GSDME,SEPTIN4,CYCS,DIABLO,BAK1,BAX,GSDMD
R-HSA-111458	CARD8,APAF1,APAF1,XIAP,APIP,CYCS,CYCS,UACA,MAPK1,MAPK3,DIABLO,AVEN,CASP9,CASP9
R-HSA-111459	APAF1,XIAP,CYCS,CASP3,CASP7,CASP9
R-HSA-111461	CARD8,APAF1,APAF1,XIAP,APIP,CYCS,CYCS,UACA,MAPK1,MAPK3,DIABLO,AVEN,CASP3,CASP7,CASP9,CASP9
R-HSA-111463	APAF1,XIAP,XIAP,CYCS,DIABLO,DIABLO,CASP3,CASP7,CASP9
R-HSA-111464	APAF1,XIAP,XIAP,CYCS,DIABLO,DIABLO,CASP3,CASP7,CASP9
R-HSA-111465	OCLN,BCAP31,ADD1,CTNNB1,DSG1,DSG2,DSG3,DSP,ACIN1,FNTA,GAS2,DBNL,GSN,APC,BIRC2,LMNA,LMNB1,MAPT,STK26,PKP1,PLEC,PRKCD,PRKCQ,PTK2,ROCK1,SATB1,CLSPN,BMX,SPTAN1,TJP1,VIM,CASP3,CASP6,CASP7,CASP8,STK24,TJP2,CDH1
R-HSA-111469	APAF1,XIAP,XIAP,SEPTIN4,CYCS,DIABLO,DIABLO,CASP3,CASP3,CASP7,CASP9
R-HSA-111471	CDKN2A,GSDME,CARD8,APAF1,APAF1,XIAP,XIAP,APIP,SEPTIN4,CYCS,CYCS,UACA,MAPK1,MAPK3,DIABLO,DIABLO,AVEN,BAK1,BAX,C1QBP,GSDMD,CASP3,CASP3,CASP7,CASP9,CASP9
