	Genes
GO:0000103	Papss1,Papss2,Sult1d1,Sult2b1,Papss2,Papss1
GO:0000104	Sdha,Sdhc,Sdha
GO:0000105	Mthfd1,Mthfd2l
GO:0000109	Ercc1,Ercc1,Ercc4,Ercc5,Ercc8,Pold1,Xpc,Ercc8
GO:0000110	Ercc1,Ercc4,Ercc1,Ercc4,Xpa
GO:0000111	Xpc
GO:0000112	Ercc3
GO:0000117	Bach1
GO:0000118	Cbx5,Dnttip1,Hdac1,Hdac1,Hdac1,Hdac10,Hdac10,Hdac11,Hdac11,Hdac2,Hdac2,Hdac3,Hdac3,Hdac4,Hdac5,Hdac6,Hdac7,Hdac8,Hdac9,Hint1,Hr,Mbd2,Mecom,Mta2,Ncor1,Ncor2,Nrip1,Phf21a,Rbbp4,Rbbp7,Rere,Sap18,Sap30,Sap30l,Satb2,Sin3a,Tbl1x,Tbl1xr1,Zfp217,Zfp541,Rcor1,Tbl1xr1,Hdac8,Phf21a,Sin3b,Sap30,Mideas,Hdac2,Jmjd1c,Hdac11,Hdac1,Tbl1x,Kdm3b,Trerf1,Hr,Zfp541,Rcor3,Rcor2,Sin3a,Sap30l,Kdm3a,Hdac3
GO:0000120	Taf1a,Taf1b,Taf1c,Tbp
GO:0000121	Pgp
