	Genes
GO:0000082	CDC7,E2F3,PPP6C,ZNF324,PIAS1,ITGB1,EIF4E,INHBA,CDK4,GSPT1,RCC1,RPS6KB1,CCND1,CCND1,CCNE1,CCNE1,CCNE1,CDC25A,ACVR1B,CDKN1A,CDKN1A,CDKN2A,CDKN2C,CDKN1B,CDKN1B,NASP,CDC34,MNAT1,BCAT1,CDKN2D,RPS6,CDK3,CDK6,ACVR1,PPAT,KHDRBS1,POLE,PPP3CA,TAF10,SKP2,EIF4EBP1,CUL1,CUL2,CUL3,CUL4A,CUL4B,CDKN3,TRIM71,TFDP3,SPDYA,USP37,IQGAP3,CACUL1,CRLF3,CUL5,RBBP8,HINFP,PLK3,LATS2,PLK2,PIM2,DBF4,PHF8,CAMK2A,GPR132,LATS2,CCNE2,CCNE1,CDK2,PLK2,CDKN1B,SPDYA,USP26,E2F1,USP29,LATS1,USP37
GO:0000083	BACH1,KLF11,BRD4,E2F6,NPAT,E2F4,GFI1,HINFP,CDK5,NPAT,CDK14,CDK18,CDK15,CDK16,CDK17
GO:0000086	WNT10B,CHEK1,AURKA,PPM1D,ENSA,CDK14,LATS1,CHEK2,CDK1,ABCB1,CALM1,CALM1,CALM1,CALM2,CALM2,CALM2,CALM3,CALM3,CALM3,CCNA2,CDK2,WEE1,CDC25A,CDC25B,CDC25B,CDC25C,CDC25C,CDKN1A,CDKN2B,NES,DNM2,PLK1,PLK1,ARPP19,KHDRBS1,FOXM1,MELK,TPD52L1,CCDC57,TAF2,BRSK2,KDM8,CCNY,BRSK1,MASTL,MASTL,PKMYT1,FBXL15,PLK3,PLCB1,LCMT1,FBXL7,PPME1,USH1C,J3QRK9,SKP2,CDC25B,CDC25A,FBXL12,FBXL6,FBXL17,FBXL8,FBXL3,FBXL21P,CDC25C,FBXL22,CDK1
GO:0000095	SLC25A26,SLC25A26,SLC25A26,SLC25A26
GO:0000097	CDO1
GO:0000098	MPST,TST
GO:0000103	PAPSS1,PAPSS1,PAPSS2,PAPSS1,PAPSS2
GO:0000104	SDHA,SDHC
GO:0000105	MTHFD1,MTHFD2L
GO:0000109	ERCC1,ERCC1,ERCC1,POLD1,ERCC5,XPC,ERCC8,ERCC4,ERCC8
GO:0000110	ERCC1,ERCC4,ERCC4,XPA,ERCC1
GO:0000111	XPC
GO:0000112	ERCC3
GO:0000117	BACH1
GO:0000118	SAP18,HDAC3,HDAC3,TBL1X,ZNF217,NCOR1,SAP30,MTA2,CBX5,NRIP1,HINT1,HDAC4,RBBP4,HDAC1,HDAC1,RBBP7,HDAC7,HDAC2,HDAC10,PHF21A,HDAC11,SIN3A,HDAC8,TBL1XR1,ZNF541,DNTTIP1,RERE,MBD2,HDAC6,HDAC9,SATB2,HDAC5,TAF6L,PHF21A,SIN3B,RCOR3,KDM3B,ZNF541,KDM3A,SIN3A,TBL1XR1,HDAC11,MIDEAS,HDAC2,HDAC8,SAP30,TBL1Y,HDAC3,SAP30L,TRERF1,TBL1X,RCOR2,RCOR1,JMJD1C,HR,HDAC1
GO:0000120	POLR1G,TAF1A
GO:0000121	PGP
GO:0000122	E2F8,E2F8,FEZF1,CNOT1,NUPR2,NKX6-3,ZBTB42,APBB1,MEN1,MEN1,MEN1,CBX4,SUPT5H,SUPT5H,WWP2,WWP2,FOXE1,FOXE1,PDE2A,SDCBP,SOX1,WNT10B,BHLHE40,BHLHE40,BHLHE40,BHLHE40,CUX2,CDX4,OVOL1,MEIS2,TCERG1,BACH1,BACH1,KLF11,TFEC,ZNF263,ZNF263,ZNF263,XPO1,PER2,PER2,ZBTB39,ZBTB5,ZNF536,SMAD7,TBX3,TBX3,MDM4,ZBTB7B,TBXT,HDAC3,HDAC3,HDAC3,HDAC3,PER1,HOXA2,CBFA2T2,SUV39H1,KLF4,FOXO3,FOXO3,SNAI2,SNAI2,SNAI2,SNAI2,SNAI2,SNAI2,FOXS1,TCF21,ZBTB14,SOX15,PRKN,ZEB2,ZEB2,ZEB2,KDM1A,KDM1A,SORBS3,MAFK,MSC,SHOX2,TBL1X,MITF,ZNF217,MACROH2A1,NCOR1,NCOR1,NCOR1,NCOR1,DEAF1,ZNF254,MAF,SAP30,E2F6,HSBP1,FOXH1,USP2,LEFTY1,PRDM1,PSMD10,KLF7,PIAS1,WFS1,URI1,URI1,URI1,DKK1,DKK1,TRIM37,HEXIM1,HEXIM1,SOX30,ZNF202,ZNF205,SPDEF,ZBTB7A,SOX14,CBX6,KLF8,IL33,SNAI1,SNAI1,SNAI1,CBX7,CBX7,TBX18,EOMES,TBX6,MBD3,HAND1,NSD2,MYC,MYC,MYC,IGF2,TNF,TNF,IFNG,EPO,ESR1,NR3C1,NR3C1,TP53,IL4,EDN1,JUN,TFAP2A,TFAP2A,TFAP2A,RB1,ENO1,ENO1,H1-0,ELANE,NFIC,NFIC,HMGB1,HMGB1,FBP1,PARP1,ZGLP1,ATXN1L,GLI2,GLI3,GLI3,GLI3,MYB,AR,NR2F6,NR2F1,NR2F1,TXN,VDR,SCGB1A1,PCNA,TPR,BMP2,BMP2,BMP4,BMP4,SKI,SKI,NR2C1,HOXD8,RARG,IRF2,HCLS1,TRIM27,HOXB3,ETS2,EZR,ATF2,VEGFA,HIVEP1,TCF3,GATA1,H1-5,H1-2,CD36,YBX3,HOXB8,HOXB4,TAL1,CEBPB,PTPN2,DDX5,SPI1,SPI1,EGR1,NELFE,ATF3,ATF4,WT1,WT1,RXRA,NFKB1,NFKB1,NFKB1,FST,NR1D1,NR1D1,NR1D1,EFNA1,TAF1,FGFR2,BMP6,SFPQ,SFPQ,SFPQ,S100A1,SP100,GATA2,ZBTB25,CCND1,CCND1,NR2F2,GADD45A,EDNRB,EDNRB,CCNE1,YY1,YY1,YY1,YY1,LMO1,DNMT1,PAX6,ZFP36,RPL10,CALR,POU1F1,ELK4,PEX2,HOXD9,MSX1,MZF1,RBL1,CCND3,HOXA7,HOXA7,HOXA7,CIITA,CTNNB1,BMI1,PCGF2,PHB,RFC1,DRD3,MSX2,MSX2,DDIT3,DDIT3,DDIT3,SOX18,SOX11,PPM1A,SREBF1,PPARG,PPARG,ZEB1,ZEB1,SNCA,CUX1,MMP12,IFI27,VHL,STAT3,ID1,LEP,ETV5,ETV3,BCL6,BCL6,ETV6,ETV6,ELK3,STAT1,STAT6,FRK,NR4A2,NR4A2,MAGEA1,MAGEA2,NKX2-1,CBX5,NOTCH1,NOTCH1,NOTCH1,YAP1,ID4,FASLG,RFX5,SOX2,SOX9,NRIP1,NR2C2,SARS1,CTCF,CEBPA,PSEN1,MXI1,ERF,ASCL1,RORC,SMARCA2,SMARCA4,SMARCA4,HCFC1,UBE2D1,HDGF,ZNF133,ZNF136,ZNF140,ZNF140,ZNF131,ZNF134,HMGA2,PDX1,NKX2-5,NKX2-5,PLK1,FOSB,MAPK10,ATN1,PRRX1,PRRX1,FOXG1,FOXA1,DLX1,MAZ,HDAC4,HDAC4,HDAC4,HDAC4,HDAC4,HDAC4,HDAC4,CTBP2,PER3,GSC,KLF3,VSX2,UBE2D3,COPS2,MAX,ISL1,PKIA,RPS14,CNBP,RPL23,SUPT4H1,SUPT4H1,UBE2I,UBE2I,YBX1,IGBP1,NKX3-2,IRX1,IRX3,NKX6-1,BTG2,HAMP,SMAD3,SMAD3,SMAD3,FOXK1,ZBED6,DAB2,RBM10,PURA,HSF1,HSF1,HNRNPU,MDM2,MDM2,E2F1,INSM1,INSM1,INSM1,INSM1,FOXK2,RUNX1,DR1,SATB1,SATB1,POU4F1,POU5F1,MEF2A,SP2,ID2,SP3,ID3,PAX5,IRF8,IRF8,HHEX,HHEX,CREM,CAV1,PPARD,ZNF85,ARID5A,ARID5A,RELA,NOTCH2,TLE4,MXD1,MXD1,ZBTB16,ZBTB16,EN1,RBPJ,RBPJ,MEF2C,GABPA,C1QBP,KHDRBS1,PPARA,PPARA,FOXM1,TLE5,PPID,EP300,SREBF2,SREBF2,SREBF2,BPTF,POU4F2,CHD3,FOXF1,FOXC1,DLG1,NFX1,PRDM2,ZBTB17,KLF10,REST,REST,REST,NR1H3,MAP2K5,TBX2,GPS2,GPS2,NOG,TRIM28,CTBP1,CTBP1,ORC2,NFATC2,SMAD4,SMAD4,SMAD4,SQSTM1,OLIG2,HDAC1,HDAC1,HDAC1,HDAC1,TDG,SNW1,CUL3,PTCH1,ACVR2B,RUNX3,KLF5,CBFB,TRIM29,SIM2,FHL2,HES1,HES1,HIC1,HIC1,HIC1,MXD4,ZNF345,ZNF268,IRF3,CBX2,POU6F1,ARID5B,CRYM,DRAP1,NFIX,ANKRD1,NR6A1,SHH,SIX1,TAF7,TGIF1,TGIF1,NCOA2,MED1,TWIST1,ZNF174,ALX1,VPS72,EZH2,ZFHX3,ZFHX3,ZBTB6,ZNF141,SSX1,CRY1,CRY1,CRY1,RBBP7,ZNF239,NFIL3,IFI16,IFI16,IFI16,ZNF750,LRRFIP1,SNAI3,ZNF568,PARP15,CRY2,CRY2,CRY2,LARP7,AKIRIN2,VAX1,CC2D1B,BEND3,PHF19,HES5,ZBTB37,RIF1,GFI1B,TAF3,MLIP,DAB2IP,DAB2IP,OTP,KANK2,E4F1,E4F1,WWC2,SP5,OTUD7B,NIPBL,HMBOX1,ZNF746,CDC73,CTR9,ATF7IP,BCOR,AEBP2,ZBTB49,HJV,MED25,MEPCE,CXXC5,TCF23,OLIG3,ZNF572,IRF2BP2,THAP5,NRARP,ZBTB33,MTDH,ZNF589,MYPOP,JAZF1,CIR1,TMPRSS6,IRF2BP1,IRF2BP1,AEBP1,PHF6,WWC1,ZFPM1,SIRT2,SIRT2,PARP9,MYOCD,OSR2,PIAS4,SDR16C5,RYBP,ZGPAT,WDTC1,NKAP,ZC3H8,ZBTB2,ESX1,EID2,EEF1AKNMT,PAF1,ZNF366,GLIS1,ZBTB34,CPEB3,GLIS3,MCPH1,TRPV1,FLCN,FLCN,DMBX1,KDM2B,OSR1,FEZF2,ZNF675,TCP10L,ZNF431,FNIP1,PPP1R13L,HDAC7,ZNF296,ZFPM2,JDP2,TFAP2B,RTF1,NR4A3,ESR2,TFAP2C,RREB1,HDAC2,HDAC2,DPF2,PROX1,CREBBP,EZH1,N4BP2L2,HOXB13,JARID2,SEMA4D,APBB2,GATA6,FOXJ1,IRF7,DLX4,KAT5,USP9X,HDAC10,E2F7,CREB3L1,NACC2,SIRT1,SIRT1,SIRT1,SIRT1,THAP11,DNAJA3,ZNF274,AURKB,HES6,AJUBA,PAWR,HIC2,LCOR,MAEL,RITA1,ZNF668,ZBTB45,EHMT2,NSD1,PRMT6,ZNF354B,HEXIM2,PURB,ARX,PHF12,NACC1,NR1H4,FERD3L,TRIB3,NODAL,TBX15,SIN3A,SPEN,UHRF1,NOTCH4,RNF2,MNT,MNT,ZBTB18,ZBTB18,CDX2,GFI1,GFI1,SMAD5,NPAS1,MDFI,TSG101,SMO,ASCL2,ASCL2,FOXC2,CITED2,HOPX,TCF25,HINFP,OVOL2,ZKSCAN3,THAP7,ZBED2,ZNF692,DUSP26,SCRT1,KLF16,HDAC8,HES7,PCGF6,BACH2,GLIS2,IRX2,TBL1XR1,FOXQ1,NKX6-2,BHLHE41,BHLHE41,TGIF2,PEG3,ANKRD2,WWTR1,PRDM14,ZNF350,SAP130,GZF1,GZF1,BCL11A,IRF2BPL,EPC1,HIPK2,TP63,TXNIP,PLK3,PRDM12,SUV39H2,IKZF5,SLA2,SUDS3,TLE6,EHMT1,NANOG,SMURF2,PRDM16,TRPV4,PATZ1,TAF9B,CBX8,CBX8,ZBTB20,NCOA5,ZBTB26,CHD8,HMG20A,MLXIPL,MYOZ1,MYOZ2,DMAP1,SCRT2,ASCL3,HEYL,TCF7L2,KMT5A,PRDM6,PRDM5,BATF3,DLL4,SIRT7,SMYD2,DUSP22,SALL1,TENM2,DNAJC17,THAP1,RLIM,LYAR,LYAR,DACT1,TFCP2L1,ZNF224,NOP53,CNOT2,CNOT2,LMCD1,MACROH2A2,ZBTB4,FNIP2,IMPACT,ZNF219,MBD2,DNMT3B,UXT,HEY2,HEY2,HEY2,HEY2,HEY2,HEY2,HESX1,AASS,CGGBP1,MLX,TRPS1,TRPS1,TRPS1,DDX20,GTF2IRD1,TAGLN3,DACH1,MAD2L2,VAX2,ZMYM5,MOSPD1,SALL4,LEF1,FOXD3,FOXD3,HDAC9,HDAC9,ZHX1,TBX21,TCFL5,MYT1L,ZNF608,WWC3,ZBTB21,YEATS2,HSF4,PLAGL1,BARX2,TBX20,SUFU,SOX13,CELA1,TRIM33,SATB2,DICER1,HDAC5,HDAC5,HDAC5,HDAC5,ZNF148,ZNF148,PKIG,ZBTB1,ZBTB1,KCNIP3,ZNF281,ZBTB32,ZBTB12,STRAP,NOC2L,NOC2L,TBX22,ZNF175,MTF2,NFE2L3,DCAF1,LOXL2,TRAF6,KLF12,KLF12,NEUROG3,HES2,HEY1,HEY1,HEY1,DMRT1,KLF2,HCFC2,ETV7,NCOR2,NCOR2,NCOR2,NCOR2,EID1,USP3,DNMT3A,DNMT3A,PIAS3,ZHX2,ZNF891,INSM2,SEMA4D,EED,NDN,NCOR2,ZNF778,ZNF705G,DLX1,ZNF439,BMP4,ZNF133,ZNF440,NR0B2,MAGEA11,MAGEB2,ZNF20,RIPPLY1,DRAP1,ZNF669,ZNF491,BCL6,ZNF764,ZNF529,ZFP69B,ZNF337,MAGEF1,ZNF77,MAGEB6,HEXIM1,ZNF674,ZNF705F,PHF21A,GLIS2,ZNF875,ZNF19,MAGEB17,ZNF75A,MAGEB1,NR2E1,GATA1,ZNF79,RIPPLY3,ZNF619,RARB,LYAR,BCL6B,ZNF69,ZFP57,ZFPM2,MAGEA2,ZNF550,MAGEB4,PER1,NR1I2,ZNF391,SOX8,MAGEA3,MAGEC3,SOX11,LDB2,ZFPM1,ZNF487,NR0B1,FAM220A,ZNF599,FOXP4,SOX2,SOX15,ZNF705B,ZNF366,ZNF425,PEG3,PPARA,MAGEB10,TRIM27,PHF12,GATA6,THRA,NR1H3,MAGEH1,CBX2,FHL2,CBX7,ZFP69,KANK2,MAGEA1,SOX9,BMI1,MIER2,ZNF282,ZNF3,DLX4,AEBP1,ZNF559,MAGED4,RARG,NR1H4,MAGEL2,MECP2,ZNF566,MAGEB18,NR2E3,ZFP37,DLX2,ZNF169,NR1D2,WWP2,PPARD,ZNF596,MAGEC1,ZNF436,TRO,ZNF177,MAGEC2,DDIT3,LDB1,MIER1,ZNF554,MAGEA8,ZFP90,ZNF620,N4BP2L2,MAGEA5,CTCF,ZIM2,MLIP,ZNF10,SAP130,MTA3,MAGEB6B,ID3,ZNF560,BRMS1L,BMP2,SIRT7,MTA2,NR2F1,NR2C1,MAGEB16,HEXIM2,BEND3,SIN3B,MTA1,MAGED1,PCGF1,SOX3,SKI,GATAD2A,NR2F2,KDM1B,INSM1,ZNF587B,ZNF343,ZNF266,ZNF785,SKOR1,ZNF705D,DR1,SKIL,MAGEA12,ZNF724,ZNF846,SUDS3,SIN3A,ZNF56,FOXP2,ZNF582,ATXN1,ZNF614,MIER3,FAM220BP,MAGEB3,MAGEA10,BRMS1,NSMCE3,NCOR1P1,ZNF557,RARA,ZNF124,MAGEE1,SOX10,HNRNPU,MAGEE2,THRB,NR2F6,ID1,ID2,ZNF180,GATAD2B,NR1D1,SKOR2,ZNF556,NR1H2,ANKRD33,PER2,ZNF705A,RXRA,NFX1,VDR,ID4,MAGEA13P,GATA3,ZNF8,KDM1A,SRY,PPARG,LIN37,MAGEB5,NCOR1,ZNF705E,MAGEA6,ZNF749,NRIP1,FOXP3,DNAJB1,ZNF589,FLCN,PER3,ZNF248,MAGED2,RIPPLY2,DMAP1,FOXP1,ZNF25,ZNF688,SIRT6,ZNF684,URI1,ZNF404,MAGEA4,ZNF398,MAGEA9,PCGF2,ZNF558,ZNF555,NR1I3,NOC2L
GO:0000123	OGT,KAT7,KAT7,KAT7,HCFC1,BRPF1,WDR5,JADE1,KANSL1,ING5,JADE3,KAT2A,KAT2A,MCRS1,PHF20,KAT8,KANSL2,JADE2,KANSL3,BRPF3,ING4,MSL3,MSL3P1,TAF5L,JADE3,EP300,CREBBP,JADE1,JADE2,MORF4L1,MORF4L2
GO:0000124	TADA2A,SUPT3H,TADA3,TAF5L,SUPT7L,TAF6,TAF10,TAF10,ATXN7L3,ATXN7L3,TAF12,TAF12,TAF9,TAF9,TADA2B,KAT2A,KAT2B,TADA1,ENY2,ENY2,ENY2,USP22,USP22,USP22,TRRAP,TRRAP,TAF6L,TAF6L,TAF10,SUPT20HL1,TADA3,SUPT7L,ENY2,TAF9,SUPT20HL2,SUPT20H,TAF6L,SGF29,TRRAP,ATXN7L3,SUPT3H,TADA1
GO:0000126	BRF1,BRF2,BRF1,BDP1
GO:0000127	GTF3C1,GTF3C2,GTF3C6,GTF3C4,GTF3C5,GTF3C3,GTF3C1,GTF3C4,GTF3C6,GTF3C2,GTF3C5,GTF3C3
